,ISO,Year,Risk.ext.debt.distress,Debt.Indicator,Inflation,Cur.acc.bal,Gen.gov.len.bor,Vol.Exp.Goods,GDP,GDP.per.cap,Gen.gov.rev,US.int.rates,Ext.Debt.Serv,Real.GDP.growth,Exch.Rate,Control.of.Corruption,Government.Effectiveness,Pol.Stability.Absence.of.Violence,Regulatory.Quality,Rule.of.Law,Voice.and.Accountability
108,NER,2008,Moderate,0,11.31,-8.964,1.108,15.124,7.297,478.448,17.941,3.082411335,28962737.3,7.731414229,446.0000414,-0.7201005,4.300801,-0.6684192,-0.4236389,1.8317997,-0.4418941
109,RWA,2008,Moderate,0,15.44,-5.139,0.822,-3.112,5.201,547.499,23.202,3.082411335,47852285.8,11.16124324,546.8486532,0.0962692,4.8689532,-0.3239338,-0.5066115,2.0227131,-1.311892
110,STP,2008,High,1,31.991,-17.611,13.648,20.428,0.188,1125.88,44.095,3.082411335,2333762.1,8.186174056,14.69520167,-0.3017965,4.3260759,0.175625,-0.7074816,2.0154328,0.1847558
111,SEN,2008,Low,0,6.335,-11.202,-3.497,-1.884,17.017,1417.49,17.239,3.082411335,181223566.2,4.056375727,446.0000414,-0.4978309,4.8441473,-0.1476973,-0.321682,2.2196403,-0.2135035
112,SLE,2008,Moderate,0,8.205,-8.977,-3.466,-10.952,2.511,409.443,12.695,3.082411335,5911045.8,5.39828521,2981.515,-0.9686922,3.849477,-0.238069,-0.9751633,1.5646327,-0.1416382
113,TZA,2008,Low,0,10.276,-7.657,-1.919,-1.924,27.762,683.137,16.32,3.082411335,73435537.6,5.68641686,1196.310709,-0.4170312,4.507368,-0.228036,-0.5074317,2.1512882,-0.1662126
114,TGO,2008,In debt distress,1,7.69,-6.705,-0.814,5.771,3.323,546.29,16.257,3.082411335,195252221.3,4.062252828,446.0000414,-0.9731315,3.503427,-0.1695216,-0.954002,1.6748013,-0.9882196
115,UGA,2008,Low,0,12.044,-5.459,-1.995,14.913,22.419,784.496,10.951,3.082411335,74201276.7,8.708751901,1720.443879,-0.8326218,4.4163751,-0.8762574,-0.2322885,2.1485462,-0.5099347
116,ZMB,2008,Low,0,12.449,-3.331,-0.668,7.407,17.911,1365.69,18.79,3.082411335,167178872.8,7.773895815,3.745,-0.3910125,4.2655631,0.4698419,-0.4648499,2.0919991,-0.1611002
117,BEN,2009,Moderate,0,0.398,-6.69,-2.241,-14.017,9.728,1087.58,14.756,2.468828892,47678936.6,2.319292139,470.2934233,-0.6156271,4.4245179,0.4032981,-0.3465346,1.8461163,0.3425233
118,BFA,2009,High,1,0.864,-4.037,-4.16,6.414,9.44,623.497,17.359,2.468828892,43874724.6,2.961950859,470.2934233,-0.3353375,4.4144281,0.0349414,-0.1119205,2.2928762,-0.2897423
119,BDI,2009,High,1,10.557,-6.312,-5.145,-20.627,1.775,208.78,32.843,2.468828892,19866682.3,3.812746937,1230.179167,-1.129477,3.95383,-1.272694,-1.155625,1.352703,-0.6894393
120,CMR,2009,Low,0,3.04,-4.304,-0.044,11.974,26.094,1309.59,15.677,2.468828892,402293277.9,2.198664102,470.2934233,-1.003626,4.1624774,-0.4744701,-0.7615821,1.376858,-1.040357
121,CAF,2009,Moderate,0,3.521,-8.714,-0.553,-13.61,2.059,482.648,15.455,2.468828892,31380646.1,8.587260426,470.2934233,-0.9766904,3.58782,-1.905314,-1.255856,1.194913,-1.003473
122,TCD,2009,Moderate,0,10.103,-8.209,-9.203,-0.068,9.315,805.798,14.935,2.468828892,77692757.1,4.217695552,470.2934233,-1.402205,3.554217,-1.728324,-1.06258,0.986622,-1.398563
123,COM,2009,In debt distress,1,4.789,-4.09,0.36,-4.739,0.904,1351.15,14.022,2.468828892,11866146.8,3.200113112,352.7200675,-0.8286337,3.230157,-0.7667361,-1.548741,1.369935,-0.3419944
124,COD,2009,In debt distress,1,46.101,-6.005,0.925,-14.518,18.702,257.769,13.395,2.468828892,624518907.4,2.85506401,809.7858333,-1.38918,3.306469,-2.002091,-1.529051,0.866818,-1.409388
